abash,abashed,abashes,abashing,
colour,coloured,colours,colouring,
come,came,comes,coming,
comment,commented,comments,commenting,
compare,compared,compares,comparing,
compel,compelled,compels,compelling,
compete,competed,competes,competing,
complain,complained,complains,complaining,
complete,completed,completes,completing,
conclude,concluded,concludes,concluding,
conduct,conducted,conducts,conducting,
confess,confessed,confesses,confessing,
confine,confined,confines,confining,
confiscate,confiscated,confiscates,confiscating,
confuse,confused,confuses,confusing,
congratulate,congratulated,congratulates,congratulating,
connect,connected,connects,connecting,
connote,connoted,connotes,connoting,
conquer,conquered,conquers,conquering,
consecrate,consecrated,consecrates,consecrating,
consent,consented,consents,consenting,
conserve,conserved,conserves,conserving,
consider,considered,considers,considering,
consign,consigned,consigns,consigning,
consist,consisted,consists,consisting,
console,consoled,consoles,consoling,
consort,consorted,consorts,consorting,
conspire,conspired,conspires,conspiring,
constitute,constituted,constitutes,constituting,
constrain,constrained,constrains,constraining,
construct,constructed,constructs,constructing,
construe,construed,construes,construing,
consult,consulted,consults,consulting,
contain,contained,contains,containing,
contemn,contemned,contemns,contemning,
contend,contended,contends,contending,
contest,contested,contests,contesting,
continue,continued,continues,continuing,
contract,contracted,contracts,contracting,
contradict,contradicted,contradicts,contradicting,
contrast,contrasted,contrasts,contrasting,
contribute,contributed,contributes,contributing,
contrive,contrived,contrives,contriving,
control,controlled,controls,controlling,
convene,convened,convenes,convening,
converge,converged,converges,converging,
converse,conversed,converses,conversing,
convert,converted,converts,converting,
convey,conveyed,conveys,conveying,
convict,convicted,convicts,convicting,
convince,convinced,convinces,convincing,
coo,cooed,coos,cooing,
cook,cooked,cooks,cooking,
cool,cooled,cools,cooling,
co-operate,co-operated,co-operates,co-operating,
cope,coped,copes,coping,
copy,copied,copies,copying,
correct,corrected,corrects,correcting,
correspond,corresponded,corresponds,corresponding,
corrode,corroded,corrodes,corroding,
corrupt,corrupted,corrupts,corrupting,
cost,costs,costing,
cough,coughed,coughs,coughing,
counsel,counselled,counsels,counselling,
count,counted,counts,counting,
course,coursed,courses,coursing,
cover,covered,covers,covering,
cower,cowered,cowers,cowering,
crack,cracked,cracks,cracking,
crackle,crackled,crackles,crackling,
crash,crashed,crashes,crashing,
crave,craved,craves,craving,
create,created,creates,creating,
creep,crept,creeps,creeping,
crib,cribbed,cribs,cribbing,
cross,crossed,crosses,crossing,
crowd,crowded,crowds,crowding,
crush,crushed,crushes,crushing,
cry,cried,cries,crying,
curb,curbed,curbs,curbing,
cure,cured,cures,curing,
curve,curved,curves,curving,
cut,cuts,cutting,
cycle,cycled,cycles,cycling,
damage,damaged,damages,damaging,
damp,damped,damps,damping,
dance,danced,dances,dancing,
dare,dared,dares,daring,
dash,dashed,dashes,dashing,
dazzle,dazzled,dazzles,dazzling,
deal,dealt,deals,dealing,
decay,decayed,decays,decaying,
decide,decided,decides,deciding,
declare,declared,declares,declaring,
decorate,decorated,decorates,decorating,
decrease,decreased,decreases,decreasing,
dedicate,dedicated,dedicates,dedicating,
delay,delayed,delays,delaying,
delete,deleted,deletes,deleting,
deny,denied,denies,denying,
depend,depended,depends,depending,
deprive,deprived,deprives,depriving,
derive,derived,derives,deriving,
describe,described,describes,describing,
desire,desired,desires,desiring,
destroy,destroyed,destroys,destroying,
detach,detached,detaches,detaching,
detect,detected,detects,detecting,
determine,determined,determines,determining,
develop,developed,develops,developing,
die,died,dies,dying,
differ,differed,differs,differing,
dig,dug,digs,digging,
digest,digested,digests,digesting,
dim,dimmed,dims,dimming,
diminish,diminished,diminishes,diminishing,
dine,dined,dines,dining,
dip,dipped,dips,dipping,
direct,directed,directs,directing,
disappear,disappeared,disappears,disappearing,
discover,discovered,discovers,discovering,
discuss,discussed,discusses,discussing,
disobey,disobeyed,disobeys,disobeying,
display,displayed,displays,displaying,
dispose,disposed,disposes,disposing,
distribute,distributed,distributes,distributing,
disturb,disturbed,disturbs,disturbing,
disuse,disused,disuses,disusing,
dive,dived,dived,dives,diving,
divide,divided,divides,dividing,
do,did,done,does,doing,
donate,donated,donates,donating,
download,downloaded,downloads,downloading,
drag,dragged,drags,dragging,
draw,drew,drawn,draws,drawing,
dream,dreamt,dreams,dreaming,
dress,dressed,dresses,dressing,
drill,drilled,drills,drilling,
drink,drank,drunk,drinks,drinking,
drive,drove,driven,drives,driving,
drop,dropped,drops,dropping,
dry,dried,dries,drying,
dump,dumped,dumps,dumping,
dwell,dwelt,dwells,dwelling,
dye,dyed,dyes,dyeing,
earn,earned,earns,earning,
eat,ate,eaten,eats,eating,
educate,educated,educates,educating,
empower,empowered,empowers,empowering,
empty,emptied,empties,emptying,
encircle,encircled,encircles,encircling,
encourage,encouraged,encourages,encouraging,
encroach,encroached,encroaches,encroaching,
endanger,endangered,endangers,entangling,
endorse,endorsed,endorses,endorsing,
endure,endured,endures,enduring,
engrave,engraved,engraves,engraving,
enjoy,enjoyed,enjoys,enjoying,
enlarge,enlarged,enlarges,enlarging,
enlighten,enlightened,enlightens,enlightening,
enter,entered,enters,entering,
envy,envied,envies,envying,
erase,erased,erases,erasing,
escape,escaped,escapes,escaping,
evaporate,evaporated,evaporates,evaporating,
exchange,exchanged,exchanges,exchanging,
exclaim,exclaimed,exclaims,exclaiming,
exclude,excluded,excludes,excluding,
exist,existed,exists,existing,
expand,expanded,expands,expanding,
expect,expected,expects,expecting,
explain,explained,explains,explaining,
explore,explored,explores,exploring,
express,expressed,expresses,expressing,
extend,extended,extends,extending,
eye,eyed,eyes,eyeing,
face,faced,faces,facing,
fail,failed,fails,failing,
faint,fainted,faints,fainting,
fall,fell,fallen,falls,falling,
fan,fanned,fans,fanning,
fancy,fancied,fancies,fancying,
favour,favoured,favours,favouring,
fax,faxed,faxes,faxing,
feed,fed,feeds,feeding,
feel,felt,feels,feeling,
ferry,ferried,ferries,ferrying,
fetch,fetched,fetches,fetching,
fight,fought,fights,fighting,
fill,filled,fills,filling,
find,found,finds,finding,
finish,finished,finishes,finishing,
fish,fished,fishes,fishing,
fit,fit/fitted,fits,fitting,
fix,fixed,fixes,fixing,
fizz,fizzed,fizzes,fizzing,
flap,flapped,flaps,flapping,
flash,flashed,flashes,flashing,
flee,fled,flees,fleeing,
fling,flung,flings,flinging,
float,floated,floats,floating,
flop,flopped,flops,flopping,
fly,flew,flown,flies,flying,
fold,folded,folds,folding,
follow,followed,follows,following,
forbid,forbade,forbidden,forbids,forbidding,
force,forced,forces,forcing,
forecast,forecasts,forecasting,
foretell,foretold,foretells,foretelling,
forget,forgot,forgotten,forgets,forgetting,
forgive,forgave,forgiven,forgives,forgiving,
forlese,forlore,forlorn,forlesing,
form,formed,forms,forming,
forsake,forsook,forsaken,forsakes,forsaking,
found,founded,founds,founding,
frame,framed,frames,framing,
free,freed,frees,freeing,
freeze,froze,frozen,freezes,freezing,
frighten,frightened,frightens,frightening,
fry,fried,fries,frying,
fulfil,fulfilled,fulfils,fulfilling,
gag,gagged,gags,gagging,
gain,gained,gains,gaining,
gainsay,gainsaid,gainsays,gainsaying,
gash,gashed,gashes,gashing,
gaze,gazed,gazes,gazing,
get,got,gets,getting,
give,gave,given,gives,giving,
glance,glanced,glances,glancing,
glitter,glittered,glitters,glittering,
glow,glowed,glows,glowing,
go,went,gone,goes,going,
google,googled,googles,googling,
govern,governed,governs,governing,
grab,grabbed,grabs,grabbing,
grade,graded,grades,grading,
grant,granted,grants,granting,
greet,greeted,greets,greeting,
grind,ground,grinds,grinding,
grip,gripped,grips,gripping,
grow,grew,grown,grows,growing,
guard,guarded,guards,guarding,
guess,guessed,guesses,guessing,
guide,guided,guides,guiding,
handle,handled,handles,handling,
hang,hung,hangs,hanging,
happen,happened,happens,happening,
harm,harmed,harms,harming,
hatch,hatched,hatches,hatching,
hate,hated,hates,hating,
have,had,has,having,
heal,healed,heals,healing,
hear,heard,hears,hearing,
heave,hove,heaves,heaving,
help,helped,helps,helping,
hew,hewed,hewn,hews,hewing,
hide,hid,hidden,hides,hiding,
hinder,hindered,hinders,hindering,
hiss,hissed,hisses,hissing,
hit,hits,hitting,
hoax,hoaxed,hoaxes,hoaxing,
hold,held,holds,holding,
hop,hopped,hops,hopping,
hope,hoped,hopes,hoping,
horrify,horrified,horrifies,horrifying,
hug,hugged,hugs,hugging,
hum,hummed,hums,humming,
humiliate,humiliated,humiliates,humiliating,
hunt,hunted,hunts,hunting,
hurl,hurled,hurls,hurling,
hurry,hurried,hurries,hurrying,
hurt,hurts,hurting,
hush,hushed,hushes,hushing,
hustle,hustled,hustles,hustling,
hypnotize,hypnotized,hypnotizes,hypnotizing,
idealize,idealized,idealizes,idealizing,
identify,identified,identifies,identifying,
idolize,idolized,idolizes,idolizing,
ignite,ignited,ignites,igniting,
ignore,ignored,ignores,ignoring,
ill-treat,ill-treated,ill-treats,ill-treating,
illuminate,illuminated,illuminates,illuminating,
illumine,illumined,illumines,illumining,
illustrate,illustrated,illustrates,illustrating,
imagine,imagined,imagines,imagining,
imbibe,imbibed,imbibes,imbibing,
imitate,imitated,imitates,imitating,
immerse,immersed,immerses,immersing,
immolate,immolated,immolates,immolating,
immure,immured,immures,immuring,
impair,impaired,impairs,impairing,
impart,imparted,imparts,imparting,
impeach,impeached,impeaches,impeaching,
impede,impeded,impedes,impeding,
impel,impelled,impels,impelling,
impend,impended,impends,impending,
imperil,imperilled,imperils,imperilling,
impinge,impinged,impinges,impinging,
implant,implanted,implants,implanting,
implicate,implicated,implicates,implicating,
implode,imploded,implodes,imploding,
implore,implored,implores,imploring,
imply,implied,implies,implying,
import,imported,imports,importing,
impose,imposed,imposes,imposing,
impress,impressed,impresses,impressing,
imprint,imprinted,imprints,imprinting,
imprison,imprisoned,imprisons,imprisoning,
improve,improved,improves,improving,
inaugurate,inaugurated,inaugurates,inaugurating,
incise,incised,incises,incising,
include,included,includes,including,
increase,increased,increases,increasing,
inculcate,inculcated,inculcates,inculcating,
indent,indented,indents,indenting,
indicate,indicated,indicates,indicating,
induce,induced,induces,inducing,
indulge,indulged,indulges,indulging,
infect,infected,infects,infecting,
infest,infested,infests,infesting,
inflame,inflamed,inflames,inflaming,
inflate,inflated,inflates,inflating,
inflect,inflected,inflects,inflecting,
inform,informed,informs,informing,
infringe,infringed,infringes,infringing,
infuse,infused,infuses,infusing,
ingest,ingested,ingests,ingesting,
inhabit,inhabited,inhabits,inhabiting,
inhale,inhaled,inhales,inhaling,
inherit,inherited,inherits,inheriting,
initiate,initiated,initiates,initiating,
inject,injected,injects,injecting,
injure,injured,injures,injuring,
inlay,inlaid,inlays,inlaying,
innovate,innovated,innovates,innovating,
input,inputs,inputting,
inquire,inquired,inquires,inquiring,
inscribe,inscribed,inscribes,inscribing,
insert,inserted,inserts,inserting,
inspect,inspected,inspects,inspecting,
inspire,inspired,inspires,inspiring,
install,installed,installs,installing,
insult,insulted,insults,insulting,
insure,insured,insures,insuring,
integrate,integrated,integrates,integrating,
introduce,introduced,introduces,introducing,
invent,invented,invents,inventing,
invite,invited,invites,inviting,
join,joined,joins,joining,
jump,jumped,jumps,jumping,
justify,justified,justifies,justifying,
keep,kept,keeps,keeping,
kick,kicked,kicks,kicking,
kid,kidded,kids,kidding,
kill,killed,kills,killing,
kiss,kissed,kisses,kissing,
kneel,knelt,kneels,kneeling,
knit,knits,knitting,
knock,knocked,knocks,knocking,
know,knew,known,knows,knowing,
lade,laded,laden,lades,lading,
land,landed,lands,landing,
last,lasted,lasts,lasting,
latch,latched,latches,latching,
laugh,laughed,laughs,laughing,
lay,laid,lays,laying,
lead,led,leads,leading,
leak,leaked,leaks,leaking,
lean,leant,leans,leaning,
leap,leapt,leaps,leaping,
learn,learnt,learns,learning,
leave,left,leaves,leaving,
leer,leered,leers,leering,
lend,lent,lends,lending,
let,lets,letting,
lick,licked,licks,licking,
lie,lay,lain,lies,lying,
lie,lied,lies,lying,
lift,lifted,lifts,lifting,
light,lit,lights,lighting,
like,liked,likes,liking,
limp,limped,limps,limping,
listen,listened,listens,listening,
live,lived,lives,living,
look,looked,looks,looking,
lose,lost,loses,losing,
love,loved,loves,loving,
magnify,magnified,magnifies,magnifying,
maintain,maintained,maintains,maintaining,
make,made,makes,making,
manage,managed,manages,managing,
march,marched,marches,marching,
mark,marked,marks,marking,
marry,married,marries,marrying,
mash,mashed,mashes,mashing,
match,matched,matches,matching,
matter,mattered,matters,mattering,
mean,meant,means,meaning,
measure,measured,measures,measuring,
meet,met,meets,meeting,
melt,melted,melts,melting,
merge,merged,merges,merging,
mew,mewed,mews,mewing,
migrate,migrated,migrates,migrating,
milk,milked,milks,milking,
mind,minded,minds,minding,
mislead,misled,misleads,misleading,
miss,missed,misses,missing,
mistake,mistook,mistaken,mistakes,mistaking,
misuse,misused,misuses,misusing,
mix,mixed,mixes,mixing,
moan,moaned,moans,moaning,
modify,modified,modifies,modifying,
moo,mooed,moos,mooing,
motivate,motivated,motivates,motivating,
mould,moulded,moulds,moulding,
moult,moulted,moults,moulting,
move,moved,moves,moving,
mow,mowed,mown,mows,mowing,
multiply,multiplied,multiplies,multiplying,
murmur,murmured,murmurs,murmuring,
nail,nailed,nails,nailing,
nap,napped,naps,napping,
need,needed,needs,needing,
neglect,neglected,neglects,neglecting,
nip,nipped,nips,nipping,
nod,nodded,nods,nodding,
note,noted,notes,noting,
notice,noticed,notices,noticing,
notify,notified,notifies,notifying,
nourish,nourished,nourishes,nourishing,
nurse,nursed,nurses,nursing,
obey,obeyed,obeys,obeying,
oblige,obliged,obliges,obliging,
observe,observed,observes,observing,
obstruct,obstructed,obstructs,obstructing,
obtain,obtained,obtains,obtaining,
occupy,occupied,occupies,occupying,
occur,occurred,occurs,occurring,
offer,offered,offers,offering,
offset,offsets,offsetting,
omit,omitted,omits,omitting,
ooze,oozed,oozes,oozing,
open,opened,opens,opening,
operate,operated,operates,operating,
opine,opined,opines,opining,
oppress,oppressed,oppresses,oppressing,
opt,opted,opts,opting,
optimize,optimized,optimizes,optimizing,
order,ordered,orders,ordering,
organize,organized,organizes,organizing,
originate,originated,originates,originating,
output,outputs,outputting,
overflow,overflowed,overflows,overflowing,
overtake,overtook,overtaken,overtakes,overtaking,
owe,owed,owes,owing,
own,owned,owns,owning,
pacify,pacified,pacifies,pacifying,
paint,painted,paints,painting,
pardon,pardoned,pardons,pardoning,
part,parted,parts,parting,
partake,partook,partaken,partakes,partaking,
participate,participated,participates,participating,
pass,passed,passes,passing,
paste,pasted,pastes,pasting,
pat,patted,pats,patting,
patch,patched,patches,patching,
pause,paused,pauses,pausing,
pay,paid,pays,paying,
peep,peeped,peeps,peeping,
perish,perished,perishes,perishing,
permit,permitted,permits,permitting,
persuade,persuaded,persuades,persuading,
phone,phoned,phones,phoning,
place,placed,places,placing,
plan,planned,plans,planning,
play,played,plays,playing,
plead,pled,pleads,pleading,
please,pleased,pleases,pleasing,
plod,plodded,plods,plodding,
plot,plotted,plots,plotting,
pluck,plucked,plucks,plucking,
ply,plied,plies,plying,
point,pointed,points,pointing,
polish,polished,polishes,polishing,
pollute,polluted,pollutes,polluting,
ponder,pondered,ponders,pondering,
pour,poured,pours,pouring,
pout,pouted,pouts,pouting,
practise,practised,practises,practising,
praise,praised,praises,praising,
pray,prayed,prays,praying,
preach,preached,preaches,preaching,
prefer,preferred,prefers,preferring,
prepare,prepared,prepares,preparing,
prescribe,prescribed,prescribes,prescribing,
present,presented,presents,presenting,
preserve,preserved,preserves,preserving,
preset,presets,presetting,
preside,presided,presides,presiding,
press,pressed,presses,pressing,
pretend,pretended,pretends,pretending,
prevent,prevented,prevents,preventing,
print,printed,prints,printing,
proceed,proceeded,proceeds,proceeding,
produce,produced,produces,producing,
progress,progressed,progresses,progressing,
prohibit,prohibited,prohibits,prohibiting,
promise,promised,promises,promising,
propose,proposed,proposes,proposing,
prosecute,prosecuted,prosecutes,prosecuting,
protect,protected,protects,protecting,
prove,proved,proves,proving,
provide,provided,provides,providing,
pull,pulled,pulls,pulling,
punish,punished,punishes,punishing,
purify,purified,purifies,purifying,
push,pushed,pushes,pushing,
put,puts,putting,
qualify,qualified,qualifies,qualifying,
quarrel,quarrelled,quarrels,quarrelling,
question,questioned,questions,questioning,
quit,quits,quitting,
race,raced,races,racing,
rain,rained,rains,raining,
rattle,rattled,rattles,rattling,
reach,reached,reaches,reaching,
read,reads,reading,
realize,realized,realizes,realizing,
rebuild,rebuilt,rebuilds,rebuilding,
recall,recalled,recalls,recalling,
recast,recasts,recasting,
receive,received,receives,receiving,
recite,recited,recites,reciting,
recognize,recognized,recognizes,recognizing,
recollect,recollected,recollects,recollecting,
recur,recurred,recurs,recurring,
redo,redid,redone,redoes,redoing,
reduce,reduced,reduces,reducing,
refer,referred,refers,referring,
reflect,reflected,reflects,reflecting,
refuse,refused,refuses,refusing,
regard,regarded,regards,regarding,
regret,regretted,regrets,regretting,
relate,related,relates,relating,
relax,relaxed,relaxes,relaxing,
rely,relied,relies,relying,
remain,remained,remains,remaining,
remake,remade,remakes,remaking,
remove,removed,removes,removing,
rend,rent,rends,rending,
renew,renewed,renews,renewing,
renounce,renounced,renounces,renouncing,
repair,repaired,repairs,repairing,
repeat,repeated,repeats,repeating,
replace,replaced,replaces,replacing,
reply,replied,replies,replying,
report,reported,reports,reporting,
request,requested,requests,requesting,
resell,resold,resells,reselling,
resemble,resembled,resembles,resembling,
reset,resets,resetting,
resist,resisted,resists,resisting,
resolve,resolved,resolves,resolving,
respect,respected,respects,respecting,
rest,rested,rests,resting,
restrain,restrained,restrains,restraining,
retain,retained,retains,retaining,
retch,retched,retches,retching,
retire,retired,retires,retiring,
return,returned,returns,returning,
reuse,reused,reuses,reusing,
review,reviewed,reviews,reviewing,
rewind,rewound,rewinds,rewinding,
rid,rids,ridding,
ride,rode,ridden,rides,riding,
ring,rang,rung,rings,ringing,
rise,rose,risen,rises,rising,
roar,roared,roars,roaring,
rob,robbed,robs,robbing,
roll,rolled,rolls,rolling,
rot,rotted,rots,rotting,
rub,rubbed,rubs,rubbing,
rule,ruled,rules,ruling,
run,ran,runs,running,
rush,rushed,rushes,rushing,
sabotage,sabotaged,sabotages,sabotaging,
sack,sacked,sacks,sacking,
sacrifice,sacrificed,sacrifices,sacrificing,
sadden,saddened,saddens,saddening,
saddle,saddled,saddles,saddling,
sag,sagged,sags,sagging,
sail,sailed,sails,sailing,
sally,sallied,sallies,sallying,
salute,saluted,salutes,saluting,
salvage,salvaged,salvages,salvaging,
salve,salved,salves,salving,
sample,sampled,samples,sampling,
sanctify,sanctified,sanctifies,sanctifying,
sanction,sanctioned,sanctions,sanctioning,
sap,sapped,saps,sapping,
saponify,saponified,saponifies,saponifying,
sash,sashed,sashes,sashing,
sashay,sashayed,sashays,sashaying,
sass,sassed,sasses,sassing,
sate,sated,sates,sating,
satiate,satiated,satiates,satiating,
satirise,satirised,satirises,satirising,
satisfy,satisfied,satisfies,satisfying,
saturate,saturated,saturates,saturating,
saunter,sauntered,saunters,sauntering,
save,saved,saves,saving,
savor,savored,savors,savoring,
savvy,savvied,savvies,savvying,
saw,sawed,sawn,saws,sawing,
say,said,says,saying,
scab,scabbed,scabs,scabbing,
scabble,scabbled,scabbles,scabbling,
scald,scalded,scalds,scalding,
scale,scaled,scales,scaling,
scam,scammed,scams,scamming,
scan,scanned,scans,scanning,
scant,scanted,scants,scanting,
scar,scarred,scars,scarring,
scare,scared,scares,scaring,
scarify,scarified,scarifies,scarifying,
scarp,scarped,scarps,scarping,
scat,scatted,scats,scatting,
scatter,scattered,scatters,scattering,
scold,scolded,scolds,scolding,
scorch,scorched,scorches,scorching,
scowl,scowled,scowls,scowling,
scrawl,scrawled,scrawls,scrawling,
scream,screamed,screams,screaming,
screw,screwed,screws,screwing,
scrub,scrubbed,scrubs,scrubbing,
search,searched,searches,searching,
seat,seated,seats,seating,
secure,secured,secures,securing,
see,saw,seen,sees,seeing,
seek,sought,seeks,seeking,
seem,seemed,seems,seeming,
seize,seized,seizes,seizing,
select,selected,selects,selecting,
sell,sold,sells,selling,
send,sent,sends,sending,
sentence,sentenced,sentences,sentencing,
separate,separated,separates,separating,
set,sets,setting,
sever,severed,severs,severing,
sew,sewed,sewn,sews,sewing,
shake,shook,shaken,shakes,shaking,
shape,shaped,shapes,shaping,
share,shared,shares,sharing,
shatter,shattered,shatters,shattering,
shave,shove,shaven,shaves,shaving,
shear,shore,shorn,shears,shearing,
shed,sheds,shedding,
shine,shone,shines,shining,
shirk,shirked,shirks,shirking,
shit,shits,shitting,
shiver,shivered,shivers,shivering,
shock,shocked,shocks,shocking,
shoe,shod,shoes,shoeing,
shoot,shot,shoots,shooting,
shorten,shortened,shortens,shortening,
shout,shouted,shouts,shouting,
show,showed,shown,shows,showing,
shrink,shrank,shrunk,shrinks,shrinking,
shun,shunned,shuns,shunning,
shut,shuts,shutting,
sight,sighted,sights,sighting,
signal,signalled,signals,signalling,
signify,signified,signifies,signifying,
sing,sang,sung,sings,singing,
sink,sank,sunk,sinks,sinking,
sip,sipped,sips,sipping,
sit,sat,sits,sitting,
ski,skied,skis,skiing,
skid,skidded,skids,skidding,
slam,slammed,slams,slamming,
slay,slew,slain,slays,slaying,
sleep,slept,sleeps,sleeping,
slide,slid,slid/slide,slides,sliding,
slim,slimmed,slims,slimming,
sling,slung,slings,slinging,
slink,slunk,slinks,slinking,
slip,slipped,slips,slipping,
slit,slits,slitting,
smash,smashed,smashes,smashing,
smell,smelt,smells,smelling,
smile,smiled,smiles,smiling,
smite,smote,smitten,smites,smiting,
smooth,smoothed,smoothes,smoothing,
smother,smothered,smothers,smothering,
snap,snapped,snaps,snapping,
snatch,snatched,snatches,snatching,
sneak,sneaked,sneaks,sneaking,
sneeze,sneezed,sneezes,sneezing,
sniff,sniffed,sniffs,sniffing,
soar,soared,soars,soaring,
sob,sobbed,sobs,sobbing,
solicit,solicited,solicits,soliciting,
solve,solved,solves,solving,
soothe,soothed,soothes,soothing,
sort,sorted,sorts,sorting,
sow,sowed,sows,sowing,
sparkle,sparkled,sparkles,sparkling,
speak,spoke,spoken,speaks,speaking,
speed,sped,speeds,speeding,
spell,spelt,spells,spelling,
spend,spent,spends,spending,
spill,spilt,spills,spilling,
spin,span/spun,spun,spins,spinning,
spit,spat/spit,spits,spitting,
split,splits,splitting,
spoil,spoilt,spoils,spoiling,
spray,sprayed,sprays,spraying,
spread,spreads,spreading,
spring,sprang,sprung,springs,springing,
sprout,sprouted,sprouts,sprouting,
squeeze,squeezed,squeezes,squeezing,
stand,stood,stands,standing,
stare,stared,stares,staring,
start,started,starts,starting,
state,stated,states,stating,
stay,stayed,stays,staying,
steal,stole,stolen,steals,stealing,
steep,steeped,steeps,steeping,
stem,stemmed,stems,stemming,
step,stepped,steps,stepping,
sterilize,sterilized,sterilizes,sterilizing,
stick,stuck,sticks,sticking,
stimulate,stimulated,stimulates,stimulating,
sting,stung,stings,stinging,
stink,stank,stunk,stinks,stinking,
stir,stirred,stirs,stirring,
stitch,stitched,stitches,stitching,
stoop,stooped,stoops,stooping,
stop,stopped,stops,stopping,
store,stored,stores,storing,
strain,strained,strains,straining,
stray,strayed,strays,straying,
stress,stressed,stresses,stressing,
stretch,stretched,stretches,stretching,
strew,strewed,strewn,strews,strewing,
stride,strode,stridden,strides,striding,
strike,struck,struck/stricken,strikes,striking,
string,strung,strings,stringing,
strive,strove,striven,strives,striving,
study,studied,studies,studying,
submit,submitted,submits,submitting,
subscribe,subscribed,subscribes,subscribing,
subtract,subtracted,subtracts,subtracting,
succeed,succeeded,succeeds,succeeding,
suck,sucked,sucks,sucking,
suffer,suffered,suffers,suffering,
suggest,suggested,suggests,suggesting,
summon,summoned,summons,summoning,
supply,supplied,supplies,supplying,
support,supported,supports,supporting,
suppose,supposed,supposes,supposing,
surge,surged,surges,surging,
surmise,surmised,surmises,surmising,
